id,question,answer,category,table_id,output,answer_format
385,In what year did Singh win the most gold medals in international competition?,2001,hockey,486,"To determine the year when Gagan Ajit Singh won the most gold medals in international competition, let's analyze his achievements listed in the table:

1. **Asian Games**: 
   - 2002 Busan: Silver medal (not gold)

2. **Asia Cup**:
   - 2003 Kuala Lumpur: Gold medal (first place)
   - 1999 Kuala Lumpur: Bronze medal (third place)

3. **Champions Challenge**:
   - 2001 Kuala Lumpur: Gold medal (first place)

4. **Junior World Cup**:
   - 2001 Hobart: Gold medal (first place)

From the above points, we can see that Singh won gold medals in three different competitions in 2001:
- Champions Challenge (Kuala Lumpur)
- Junior World Cup (Hobart)

Since 2001 is the only year where he won multiple gold medals, it is the year when he won the most gold medals in international competition.

Final Answer: 2001",yyyy
386,How many years did the First Sudanese Civil War last?,16,proxy war,982,"To determine the duration of the First Sudanese Civil War, we need to look at the dates provided in the table. The table states that the war began on ""18 August 1955"" and ended on ""27 March 1972.""

Step 1: Identify the start and end dates.
- Start Date: 18 August 1955
- End Date: 27 March 1972

Step 2: Calculate the difference in years.
- From 1955 to 1972 is 17 years.

Step 3: Account for the months and days.
- The war lasted until March, which is earlier in the year compared to when it started in August. This means we need to subtract one full year from the total because part of the last year (1972) is not fully included in the war period.

Final calculation:
17 years - 1 year = 16 years

Therefore, the First Sudanese Civil War lasted 16 years.

Final Answer: 16 years",<num_years>
387,How many years did the Second Liberation Army exist?,8,proxy war,974,"To determine how long the Second Liberation Army existed, we need to look at the dates when it was active according to the information provided in the table.

From the ""Belligerents"" section, we can see that the Second Liberation Army was active from 1968 to 1976.

To calculate the duration:
1. Start year: 1968
2. End year: 1976

Subtract the start year from the end year:
1976 - 1968 = 8 years

Therefore, the Second Liberation Army existed for 8 years.
Final Answer: 8 years",<num_years>
388,How many years did the Tonnerre sail before it was burned down?,1,ship,1110,"To determine how many years the Tonnerre sailed before it was burned down, we need to find the difference between its commissioning date and the date it was burned.

1. Commissioned: 21 July 1808
2. Burned: 12 April 1809

First, calculate the time from 21 July 1808 to 31 December 1808:
- From 21 July to 31 December: 
  - July: 14 days (31 - 21 + 1)
  - August: 31 days
  - September: 30 days
  - October: 31 days
  - November: 30 days
  - December: 31 days
- Total: 14 + 31 + 30 + 31 + 30 + 31 = 167 days

Next, calculate the time from 1 January 1809 to 12 April 1809:
- January: 31 days
- February: 28 days (not a leap year)
- March: 31 days
- April: 12 days
- Total: 31 + 28 + 31 + 12 = 102 days

Now, add the days together:
- 167 days (from 21 July to 31 December 1808) + 102 days (from 1 January to 12 April 1809) = 269 days

Convert days to years:
- 269 days / 365 days per year ≈ 0.737 years

Since the ship was burned in the same calendar year, we can round this to one year for simplicity.

Final Answer: 1 year",<num_years>
389,How many years did Tochiazuma Daisuke wrestle?,13,sumo,169,"To determine how many years Tochiazuma Daisuke wrestled, we need to look at his debut and retirement dates. According to the table, his debut was in November 1994, and he retired in May 2007.

Let's break it down:
1. From November 1994 to April 2007: This period includes all of 1994, plus the entire year of 2005 and 2006, and part of 2007 up to May.
2. Count the full years first: 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006 - this totals 12 full years.
3. Add the partial year from November 1994 to April 2007: This adds another year to the total.

Therefore, Tochiazuma Daisuke wrestled for 13 years.

Final Answer: 13 years",<num_years>
390,How many years did Viv Richards play for the West Indies?,17,cricket,57,"To determine how many years Viv Richards played for the West Indies, we need to look at his Test debut and last Test match dates.

From the table:
- Test debut: 22 November 1974
- Last Test: 8 August 1991

We calculate the difference between these two dates:

1991 - 1974 = 17 years

Therefore, Viv Richards played for the West Indies for 17 years.
Final Answer: 17 years",<num_years>
391,How many years elapsed between Merckx's first General Classification win and his last Combination Classification win at the Tour de France?,5,cycling,635,"To determine the number of years between Merckx's first General Classification win and his last Combination Classification win at the Tour de France, we need to identify the specific years for both achievements.

From the ""Major wins"" section, we can see:
- Merckx won the General Classification at the Tour de France in 1969, 1970, 1971, 1972, and 1974. 
- For the Combination Classification, the years mentioned are 1969, 1970, 1971, 1972, and 1974.

The earliest General Classification win was in 1969.
The latest Combination Classification win was also in 1974.

Now, we calculate the difference between these years:
1974 - 1969 = 5 years

Therefore, the number of years that elapsed between Merckx's first General Classification win and his last Combination Classification win at the Tour de France is 5 years.

Final Answer: 5 years",<num_years>
392,How many years elapsed between the laying down and the launching of the Tonnerre?,14,ship,1110,"To determine the number of years that elapsed between the laying down and the launching of the Tonnerre, we need to find the difference between the dates when it was laid down and when it was launched.

From the table:
- Laid down: 22 September 1794
- Launched: 9 June 1808

First, calculate the difference in years:
1808 - 1794 = 14 years

Next, check if there are any months or days that need adjustment:
- From 22 September 1794 to 31 December 1794: 4 months and 9 days
- From 1 January 1808 to 9 June 1808: 5 months and 9 days

Since the period spans across the full 14 years without needing further adjustment, the total elapsed time is 14 years.

Final Answer: 14 years",<num_years>
393,How many years elapsed from when Dhanraj Pillay won his first medal in Kuala Lumpur to his last in Kuala Lumpur?,4,hockey,485,"To determine the number of years that elapsed from when Dhanraj Pillay won his first medal in Kuala Lumpur to his last in Kuala Lumpur, we need to identify the specific years he won gold medals in the Champions Challenge and Asia Cup in Kuala Lumpur.

From the information provided:
- He won the Gold medal - first place in the Champions Challenge in 2001 Kuala Lumpur.
- He won the Gold medal - first place in the Asia Cup in 2003 Kuala Lumpur.

Now, we calculate the difference between these years:
2003 - 2001 = 2 years.

Therefore, the number of years that elapsed from when Dhanraj Pillay won his first medal in Kuala Lumpur to his last in Kuala Lumpur is 2 years.

Final Answer: 2 years",<num_years>
394,How many years had Adal been known as Birlik before it changed its name in 2020?,7,political party,932,"To determine how many years Adal was known as Birlik before changing its name in 2020, we need to follow these steps:

1. Identify when Adal was founded as Birlik.
   - According to the table, Adal was founded on 26 April 2013 as Birlik.

2. Identify when Adal changed its name to Adal.
   - The table shows that Adal changed its name to Adal on 5 November 2020.

3. Calculate the time period from the founding of Birlik to the change of name to Adal.
   - Start date: 26 April 2013
   - End date: 5 November 2020

4. Determine the duration of this period.
   - From 26 April 2013 to 5 November 2020 is approximately 7 years and 6 months.

5. Convert the duration to whole years.
   - 7 years and 6 months is approximately 7 years.

Therefore, Adal was known as Birlik for about 7 years before changing its name in 2020.
Final Answer: 7 years",<num_years>
